FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
427,22011,10785,6828,8143,2887,1979,1672,1498,1326,1370,1137,1016,826,843,536,831,1001,689,729,621,604,659,696,559,512,509,500,614,488,501,745,960,432,441,648,416,578,317,300,0,0
377,25494,12684,7946,8022,2678,1880,1527,1356,1187,1246,1107,1013,750,850,547,813,1019,555,691,540,511,590,677,604,479,480,486,622,423,490,653,896,458,382,664,453,575,303,278,0,0
337,28277,13945,8639,8474,2109,1702,1316,1348,1003,1266,990,932,654,739,490,758,947,448,599,460,428,546,624,597,418,368,412,590,368,423,509,802,470,348,627,451,590,316,224,0,0
417,30086,14459,8881,9269,1489,1576,1125,1252,824,1097,964,867,586,536,415,673,820,395,523,369,341,425,668,625,346,307,345,578,361,348,386,678,499,346,588,402,566,312,188,0,0
473,30895,14549,9189,9969,1394,1412,904,1325,708,1023,953,866,550,364,390,603,706,443,536,331,289,412,652,633,294,258,309,584,391,301,311,575,517,354,577,358,507,366,200,0,0
446,30810,14761,9786,10526,1419,1481,997,1522,747,1069,1025,896,511,320,462,565,657,551,557,396,319,405,724,631,295,263,323,586,429,350,315,550,500,361,513,329,442,427,235,0,0
445,29652,15643,10236,10375,1719,1911,1267,1591,968,1080,1064,1029,565,364,579,581,641,682,568,495,415,428,711,642,311,329,314,604,401,431,410,602,493,403,462,358,439,439,308,0,0
381,27402,17405,9995,9981,2235,2070,1354,1654,1035,1257,1257,1153,705,483,662,615,612,754,552,552,470,487,779,669,376,364,368,613,387,476,522,724,500,463,437,399,442,486,342,0,0
359,24294,19725,8984,9705,2415,2376,1666,1660,1221,1290,1341,1150,902,646,681,647,562,735,536,596,504,480,824,683,414,406,427,591,411,461,608,847,536,508,404,404,424,461,345,0,0
332,20872,21832,7927,9446,2607,2689,1655,1619,1322,1280,1299,1187,1097,802,627,669,489,612,538,599,519,490,823,697,426,436,425,591,480,426,636,927,605,518,373,395,435,437,318,0,0
